"","ghi_ID","Department","proj_title","loc_name","lat","long"
"1",1,"FMSC","Understanding the association between pregnancy outcomes and mental health","Aarhus, Denmark",56.1629,10.2039
"2",2,"BCH","Sick over fashion? Examining the relationship between consumption and sexual behavior among youth in Antananarivo and Antsiranana, Madagascar
","Antisiranana, Madagascar",-12.3231,49.2943
"3",3,"BCH","Sick over fashion? Examining the relationship between consumption and sexual behavior among youth in Antananarivo and Antsiranana, Madagascar
","Antananarivo, Madagascar",-18.8792,47.5079
"4",4,"BCH","Innovations in Secondary Education- The Role of Pregnancy in School Drop-out in West Nile, Uganda)
","Arua, Uganda",3.0303,30.9073
"5",5,"BCH","Innovations in Secondary Education- The Role of Pregnancy in School Drop-out in West Nile, Uganda)
","Adjumani, Uganda",3.3784,31.7822
"6",6,"BCH","Improving measures of Transactional Sex in sub-Saharan Africa","Kampala, Uganda",0.3476,32.5825
"7",7,"BCH","Improving measures of Transactional Sex in sub-Saharan Africa","Masaka, Uganda",-0.3267,31.7537
"8",8,"BCH","Improving measures of Transactional Sex in sub-Saharan Africa","Mwanza, Tanzania",-2.5164,32.9175
"9",11,"BCH","Improving measures to assess gendered dimensions of young women's vulnerability to HIV through transactional sex","Kampala, Uganda",0.3476,32.5825
"10",12,"BCH","Improving measures to assess gendered dimensions of young women's vulnerability to HIV through transactional sex","Masaka, Uganda",-0.3267,31.7537
"11",14,"BCH","Marriage and Social Change in Kenya","Nairobi, Kenya",-1.2921,36.8219
"12",17,"BCH","New Media Content of Akili & Me","Arusha, Tanzania",-3.3869,36.683
"13",18,"BCH","Parental Mediation of Akili & Me","Arusha, Tanzania",-3.3869,36.683
"14",19,"BCH","Akili & Me Radio content","Tanga, Tanzania",-5.0889,39.1023
"15",21,"BCH","Youth in Iceland","Reykjavík, Iceland",64.1466,-21.9426
"16",22,"BCH","RCT of Galli Galli Sim Sim","Lucknow, Uttar Pradesh, India",26.8467,80.9462
"17",23,"BCH","Longitudinal study of Galli Galli Sim Sim","Mumbai, Maharashtra, India",19.076,72.8777
"18",24,"BCH","Longitudinal study of Galli Galli Sim Sim","Ahmedabad, Gujarat, India",23.0225,72.5714
"19",25,"BCH","Longitudinal study of Galli Galli Sim Sim","Lucknow, Uttar Pradesh, India",26.8467,80.9462
"20",26,"BCH","Qualitative study of educational media in India","Delhi, India",28.7041,77.1025
"21",27,"BCH","Qualitative study of educational media in India","Lucknow, Uttar Pradesh, India",26.8467,80.9462
"22",28,"BCH","Qualitative study of educational media in India","Ahmedabad, Gujarat, India",23.0225,72.5714
"23",29,"BCH","Qualitative study of educational media in India","Mumbai, Maharashtra, India",19.076,72.8777
"24",34,"BCH","Impact of Media {Akili and Me} on children","Arusha, Tanzania",-3.3869,36.683
"25",35,"BCH","Impact of Media {Akili and Me} on children","Arusha, Tanzania",-3.3869,36.683
"26",36,"BCH","Impact of Media {Akili and Me} on children","Tanga, Tanzania",-5.0889,39.1023
"27",39,"BCH","Impact of Tobacco Marketing on Children","Shanghai, China",31.2304,121.4737
"28",40,"BCH","Impact of Tobacco Marketing on Children","Delhi, India",28.7041,77.1025
"29",42,"BCH","Impact of Tobacco Marketing on Children","Islamabad, Islamabad Capital Territory, Pakistan",33.6844,73.0479
"30",43,"BCH","Impact of Tobacco Marketing on Children","Moscow, Russia",55.7558,37.6173
